"anio","codigo_canton","canton_original","canton","indice_competitividad","ranking_competitividad","categoria_competitividad","pilar_economico","pilar_empresarial","pilar_gobierno","pilar_laboral","pilar_infraestructura","pilar_innovacion","pilar_calidad_vida","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,405,"San Rafael","SAN RAFAEL",45.8882123231888,35,"Medio",38.8824075460434,28.1952947378159,34.8715901374817,55.3475797176361,74.2717623710632,41.7605489492416,47.8882998228073,1,0,0,0,0,0,0,0,1,1,1611,882,729,0,54.75,45.25,300,1311,"UNIVERSIDAD NACIONAL",707,"ADMINISTRACION",107,5,258
2022,406,"San Isidro","SAN ISIDRO",49.3671268224716,19,"Medio",48.2176303863525,38.5009348392487,38.3421450853348,51.4316618442535,62.7845227718353,48.7631410360336,57.5298428535461,0,0,0,0,1,0,0,0,0,1,748,397,351,0,53.07,46.93,161,587,"UNIVERSIDAD DE COSTA RICA",280,"ADMINISTRACION",45,5,180
2022,407,"Belén","BELEN",71.0773110389709,1,"Alto",94.4620490074158,73.7289190292358,60.280054807663,71.2268173694611,75.1559317111969,70.7492768764496,51.9381105899811,0,0,0,0,0,0,0,0,0,0,669,316,353,0,47.23,52.77,106,563,"UNIVERSIDAD DE COSTA RICA",285,"ADMINISTRACION DE EMPRESAS",29,5,185
2022,408,"Flores","FLORES",55.2701354026794,13,"Medio",64.8645758628845,45.2213525772095,37.47718334198,52.6928722858429,77.3379802703857,63.2292568683624,46.0677415132523,0,0,0,0,0,0,0,0,0,0,677,358,319,0,52.88,47.12,101,576,"UNIVERSIDAD DE COSTA RICA",262,"ADMINISTRACION",38,5,198
2022,409,"San Pablo","SAN PABLO",55.5289506912231,12,"Medio",61.9047880172729,41.7593896389008,44.5940732955933,49.3260502815247,85.2634370326996,48.7107872962952,57.1441471576691,0,0,0,0,0,0,0,0,0,0,967,497,470,0,51.4,48.6,146,821,"UNIVERSIDAD NACIONAL",374,"ADMINISTRACION",74,5,211
2022,410,"Sarapiquí","SARAPIQUI",37.8368228673935,67,"Bajo",26.3797760009766,30.1936209201813,32.8301995992661,50.7163047790527,35.6380790472031,38.0090147256851,51.0907649993896,0,0,0,0,0,0,0,0,0,0,1621,1002,619,0,61.81,38.19,351,1270,"UNIVERSIDAD NACIONAL",520,"ADMINISTRACION",117,5,173
2022,501,"Liberia","LIBERIA",47.4423259496689,29,"Medio",52.9891133308411,31.1562716960907,42.7110135555267,72.2224116325378,52.5522530078888,43.1910663843155,37.2741430997849,0,0,0,1,1,0,0,0,0,2,2260,1226,1034,0,54.25,45.75,461,1799,"UNIVERSIDAD DE COSTA RICA",759,"ADMINISTRACION",144,5,222
2022,502,"Nicoya","NICOYA",43.4042423963547,47,"Medio",40.2811169624329,28.9187371730804,43.4430867433548,68.0278241634369,44.0504997968674,27.0827889442444,52.0256400108337,0,1,0,0,1,0,0,0,1,2,1392,815,577,0,58.55,41.45,290,1102,"UNIVERSIDAD NACIONAL",539,"ADMINISTRACION",165,5,180
2022,503,"Santa Cruz","SANTA CRUZ",45.3060477972031,39,"Medio",44.8783665895462,31.477689743042,53.6464512348175,69.046288728714,45.0852483510971,27.2907286882401,45.7175612449646,1,0,0,0,1,0,0,0,1,2,1231,719,512,0,58.41,41.59,240,991,"UNIVERSIDAD NACIONAL",389,"ADMINISTRACION",85,5,171
2022,504,"Bagaces","BAGACES",42.641693353653,51,"Medio",30.6567549705505,27.2482097148895,41.1695629358292,50.1440763473511,39.6496832370758,60.088324546814,49.5352447032928,0,0,0,0,0,0,0,0,0,0,711,423,288,0,59.49,40.51,148,563,"UNIVERSIDAD DE COSTA RICA",224,"ADMINISTRACION DE EMPRESAS",31,5,138
2022,505,"Carrillo","CARRILLO",48.6654788255692,22,"Medio",59.2346906661987,28.3427029848099,48.466819524765,60.4698181152344,57.1295976638794,43.3416932821274,43.6730355024338,0,0,0,0,0,0,0,0,0,0,725,409,316,0,56.41,43.59,128,597,"UNIVERSIDAD DE COSTA RICA",244,"ADMINISTRACION",71,5,118
